epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0195,0.83468,1.54855,1.56205,0.95055,0.94747,0.98515,0.88903,0.43163,0.53025,1.18659,0.000549352,0.000549352,0.000549352
2,32.0194,0.5284,0.56945,1.29322,0.97846,0.98389,0.99296,0.94329,0.34152,0.35389,1.12712,0.00109408,0.00109408,0.00109408
3,45.1397,0.47556,0.44044,1.25769,0.99574,0.99777,0.99497,0.95635,0.31362,0.29355,1.13243,0.0016278,0.0016278,0.0016278
4,58.2505,0.46177,0.41819,1.2613,0.99556,0.99175,0.99414,0.96958,0.28725,0.28452,1.11658,0.00161749,0.00161749,0.00161749
5,71.0542,0.45016,0.38819,1.25032,0.99815,0.99902,0.995,0.96712,0.28144,0.25315,1.12124,0.00160099,0.00160099,0.00160099
6,84.0192,0.42702,0.37363,1.23914,0.96228,0.96897,0.99216,0.9762,0.26135,0.29783,1.17691,0.00158448,0.00158448,0.00158448
7,97.1308,0.41137,0.35682,1.2259,0.99828,0.99871,0.99496,0.97956,0.26393,0.23809,1.06396,0.00156798,0.00156798,0.00156798
8,110.031,0.41073,0.34476,1.23031,0.99983,1,0.995,0.96981,0.32458,0.2585,1.13902,0.00155148,0.00155148,0.00155148
9,122.831,0.3889,0.32303,1.20709,0.99844,0.99569,0.995,0.986,0.23519,0.22164,1.09294,0.00153497,0.00153497,0.00153497
10,135.381,0.37675,0.32285,1.20151,0.99901,1,0.995,0.98612,0.22711,0.21016,1.0991,0.00151847,0.00151847,0.00151847
11,147.95,0.3754,0.31211,1.20838,0.99956,0.99925,0.995,0.98469,0.24958,0.20904,1.1045,0.00150197,0.00150197,0.00150197
12,160.539,0.37931,0.32318,1.21064,0.99979,0.99993,0.995,0.99016,0.21647,0.19802,1.14567,0.00148546,0.00148546,0.00148546
13,172.997,0.36739,0.31036,1.1951,0.99719,0.99615,0.99499,0.98924,0.23391,0.20465,1.26264,0.00146896,0.00146896,0.00146896
14,185.6,0.36029,0.30014,1.18788,0.98413,0.98836,0.99414,0.98602,0.2208,0.22361,1.13798,0.00145246,0.00145246,0.00145246
15,198.221,0.36256,0.3002,1.1982,0.99524,0.99785,0.99483,0.98857,0.22782,0.20545,1.07782,0.00143595,0.00143595,0.00143595
16,211.402,0.35484,0.29876,1.19083,0.99695,0.99948,0.995,0.99058,0.19705,0.19263,1.15618,0.00141945,0.00141945,0.00141945
17,224.418,0.34807,0.29212,1.18294,0.9998,1,0.995,0.9921,0.19457,0.17625,1.09422,0.00140295,0.00140295,0.00140295
18,237.622,0.33967,0.28435,1.18831,0.99472,0.99584,0.995,0.99123,0.19943,0.19523,1.11758,0.00138644,0.00138644,0.00138644
19,250.253,0.35646,0.29122,1.18538,0.9994,0.99951,0.995,0.98631,0.22797,0.19403,1.04154,0.00136994,0.00136994,0.00136994
20,263.109,0.3388,0.28012,1.19259,0.9984,0.99991,0.995,0.99144,0.21754,0.186,1.05748,0.00135344,0.00135344,0.00135344
21,275.891,0.34108,0.28088,1.17598,0.99844,0.99871,0.995,0.99033,0.20669,0.18339,1.01617,0.00133693,0.00133693,0.00133693
22,288.67,0.3261,0.27246,1.17134,0.98819,0.99173,0.99406,0.98643,0.2127,0.19377,1.04553,0.00132043,0.00132043,0.00132043
23,301.297,0.32979,0.2722,1.17997,0.99913,0.99952,0.995,0.99406,0.20064,0.17317,1.03069,0.00130393,0.00130393,0.00130393
24,313.968,0.32318,0.27059,1.1724,0.9998,1,0.995,0.99289,0.18087,0.16401,1.04784,0.00128742,0.00128742,0.00128742
25,326.757,0.31877,0.26242,1.16679,0.99015,0.98557,0.99494,0.99135,0.20112,0.19285,1.04098,0.00127092,0.00127092,0.00127092
26,339.304,0.3225,0.26344,1.1674,0.99614,0.99844,0.995,0.99344,0.18173,0.16657,1.10822,0.00125442,0.00125442,0.00125442
27,351.272,0.31888,0.26142,1.16315,0.99987,1,0.995,0.99345,0.18016,0.16457,1.04903,0.00123791,0.00123791,0.00123791
28,364.182,0.32283,0.26287,1.16143,0.998,0.99965,0.995,0.99382,0.17615,0.16383,1.0555,0.00122141,0.00122141,0.00122141
29,377.172,0.31009,0.25738,1.15161,0.99746,0.99963,0.995,0.99404,0.18641,0.16376,1.04478,0.00120491,0.00120491,0.00120491
30,389.844,0.31016,0.25684,1.15519,0.99897,0.99989,0.995,0.99296,0.17463,0.16033,1.17682,0.0011884,0.0011884,0.0011884
31,402.499,0.31041,0.2572,1.16208,0.99974,1,0.995,0.99432,0.17629,0.15766,1.03821,0.0011719,0.0011719,0.0011719
32,415.158,0.31647,0.25978,1.17678,0.99962,1,0.995,0.99367,0.16565,0.15691,1.04043,0.0011554,0.0011554,0.0011554
33,428.463,0.3083,0.25195,1.16002,0.99984,1,0.995,0.99466,0.16835,0.15488,1.04745,0.00113889,0.00113889,0.00113889
34,441.053,0.30718,0.25352,1.15871,0.99827,0.99853,0.995,0.99407,0.18584,0.16482,1.04867,0.00112239,0.00112239,0.00112239
35,453.845,0.30565,0.25485,1.1614,0.99863,0.99994,0.995,0.99441,0.18948,0.16652,1.20665,0.00110589,0.00110589,0.00110589
36,466.83,0.30016,0.24301,1.15289,0.99983,1,0.995,0.99498,0.16725,0.15385,1.05783,0.00108938,0.00108938,0.00108938
37,480.064,0.30655,0.24833,1.1636,0.99974,1,0.995,0.99275,0.18876,0.15588,1.05678,0.00107288,0.00107288,0.00107288
38,493.039,0.30063,0.24848,1.14765,0.99985,1,0.995,0.99411,0.16132,0.14564,1.05342,0.00105638,0.00105638,0.00105638
39,505.939,0.301,0.24964,1.15137,0.99911,0.99995,0.995,0.99499,0.15554,0.14481,1.0863,0.00103987,0.00103987,0.00103987
40,518.651,0.29954,0.24462,1.15064,0.99965,0.99884,0.995,0.99434,0.17293,0.15094,1.08236,0.00102337,0.00102337,0.00102337
41,531.526,0.29561,0.24138,1.13916,0.99981,1,0.995,0.99486,0.16041,0.14814,1.07688,0.00100687,0.00100687,0.00100687
42,544.342,0.29973,0.24216,1.16145,0.99989,1,0.995,0.99389,0.17502,0.15626,1.03559,0.000990365,0.000990365,0.000990365
43,556.968,0.29798,0.24225,1.14301,0.99452,0.99742,0.995,0.99355,0.17074,0.15152,1.03694,0.000973861,0.000973861,0.000973861
44,570.073,0.29617,0.24124,1.15239,0.99956,1,0.995,0.9948,0.15772,0.14328,1.05069,0.000957358,0.000957358,0.000957358
45,582.578,0.28607,0.2365,1.13113,0.9999,1,0.995,0.9943,0.15048,0.14074,1.08776,0.000940855,0.000940855,0.000940855
46,595.234,0.28583,0.23432,1.12823,0.99987,1,0.995,0.99431,0.15189,0.14254,1.06531,0.000924352,0.000924352,0.000924352
47,607.74,0.29558,0.24325,1.15193,0.99287,0.98996,0.99471,0.99404,0.17128,0.16387,1.07,0.000907848,0.000907848,0.000907848
48,620.188,0.29205,0.23688,1.14516,0.99988,1,0.995,0.99468,0.14902,0.13886,1.09032,0.000891345,0.000891345,0.000891345
49,632.77,0.27886,0.22761,1.13687,0.99989,1,0.995,0.99455,0.15567,0.14005,1.05787,0.000874842,0.000874842,0.000874842
50,645.138,0.28336,0.23231,1.13908,0.99982,1,0.995,0.99479,0.1534,0.14026,1.02806,0.000858338,0.000858338,0.000858338
51,657.873,0.28733,0.23326,1.14342,0.99989,1,0.995,0.99489,0.1604,0.13932,1.03804,0.000841835,0.000841835,0.000841835
52,670.453,0.28053,0.22974,1.13384,0.9999,1,0.995,0.99448,0.15617,0.13696,1.13889,0.000825332,0.000825332,0.000825332
53,683.621,0.27893,0.22725,1.13987,0.99983,0.99988,0.995,0.99458,0.1498,0.13476,1.05095,0.000808828,0.000808828,0.000808828
54,696.627,0.27534,0.22441,1.12454,0.99984,0.99954,0.995,0.99445,0.15087,0.13374,1.04532,0.000792325,0.000792325,0.000792325
55,708.964,0.27531,0.22531,1.13582,0.99987,1,0.995,0.99475,0.15791,0.1322,1.06788,0.000775822,0.000775822,0.000775822
