                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86349,                 1.4834,                 1.9029,                0.95461,                0.95995,                0.98746,                0.87686,                0.54064,                0.85633,                 1.2867,             0.00054935,             0.00054935,             0.00054935
                      2,                0.56233,                0.61334,                 1.4324,                 0.9928,                0.99769,                0.99479,                0.92453,                0.41423,                0.44426,                 1.2868,              0.0010941,              0.0010941,              0.0010941
                      3,                0.53173,                0.54425,                 1.3813,                0.99691,                0.99789,                  0.995,                0.92404,                0.40163,                0.41147,                 1.1924,              0.0016278,              0.0016278,              0.0016278
                      4,                0.53381,                0.52508,                 1.3866,                0.99906,                0.99837,                  0.995,                0.93176,                0.36251,                0.37412,                 1.2122,              0.0016175,              0.0016175,              0.0016175
                      5,                0.47957,                0.45916,                 1.3378,                0.99851,                      1,                  0.995,                0.95746,                0.32722,                0.30875,                 1.2162,               0.001601,               0.001601,               0.001601
                      6,                0.46561,                0.43294,                 1.3345,                0.97377,                0.98017,                0.99369,                0.94902,                0.33408,                 0.3358,                  1.279,              0.0015845,              0.0015845,              0.0015845
                      7,                0.44344,                0.40133,                 1.3171,                0.96965,                0.99086,                0.99458,                0.96302,                0.29089,                0.33004,                 1.1548,               0.001568,               0.001568,               0.001568
                      8,                0.42165,                0.37274,                 1.3116,                0.99972,                      1,                  0.995,                0.97355,                0.26124,                0.25552,                 1.1786,              0.0015515,              0.0015515,              0.0015515
                      9,                0.41828,                0.35981,                 1.3099,                0.99985,                      1,                  0.995,                0.98245,                0.25447,                0.24912,                 1.1439,               0.001535,               0.001535,               0.001535
                     10,                 0.4115,                0.34759,                  1.293,                0.99683,                0.99926,                  0.995,                0.96729,                0.28333,                 0.2462,                 1.1865,              0.0015185,              0.0015185,              0.0015185
                     11,                0.39666,                0.33418,                 1.2789,                0.99862,                0.99948,                  0.995,                0.98578,                 0.2445,                 0.2398,                 1.2098,               0.001502,               0.001502,               0.001502
                     12,                0.38461,                0.32484,                 1.2801,                0.99959,                      1,                  0.995,                0.97959,                 0.2546,                0.23072,                 1.1673,              0.0014855,              0.0014855,              0.0014855
                     13,                0.38207,                0.31908,                 1.2642,                0.99978,                      1,                  0.995,                0.98755,                0.21204,                0.21494,                 1.1551,               0.001469,               0.001469,               0.001469
                     14,                0.37538,                0.31407,                 1.2705,                0.99976,                      1,                  0.995,                  0.986,                0.22405,                0.21819,                 1.1456,              0.0014525,              0.0014525,              0.0014525
                     15,                0.37456,                0.30795,                 1.2704,                 0.9997,                      1,                  0.995,                0.98854,                0.20954,                0.21185,                 1.1423,               0.001436,               0.001436,               0.001436
                     16,                0.37498,                0.31658,                  1.265,                0.99984,                      1,                  0.995,                0.98728,                0.22395,                0.21703,                 1.1718,              0.0014195,              0.0014195,              0.0014195
                     17,                0.35886,                0.30176,                 1.2582,                0.99989,                      1,                  0.995,                0.98358,                0.23569,                0.19428,                  1.131,              0.0014029,              0.0014029,              0.0014029
                     18,                0.35952,                0.29448,                  1.251,                0.99988,                      1,                  0.995,                0.99267,                0.18762,                 0.1937,                 1.1256,              0.0013864,              0.0013864,              0.0013864
                     19,                0.35098,                0.28828,                 1.2456,                0.99987,                      1,                  0.995,                0.99159,                0.19948,                0.19491,                 1.1155,              0.0013699,              0.0013699,              0.0013699
                     20,                0.35421,                0.28729,                 1.2536,                0.99971,                      1,                  0.995,                0.99163,                0.20002,                0.19067,                 1.1625,              0.0013534,              0.0013534,              0.0013534
                     21,                0.34557,                0.28122,                 1.2463,                0.99979,                      1,                  0.995,                 0.9921,                0.20588,                0.19666,                 1.0943,              0.0013369,              0.0013369,              0.0013369
                     22,                 0.3381,                0.28025,                 1.2426,                0.99943,                 0.9999,                  0.995,                0.99202,                 0.1931,                0.18126,                 1.1414,              0.0013204,              0.0013204,              0.0013204
                     23,                0.34657,                0.27824,                 1.2512,                0.99936,                0.99948,                  0.995,                0.99093,                0.20934,                0.19604,                 1.1464,              0.0013039,              0.0013039,              0.0013039
                     24,                0.33908,                0.27214,                 1.2396,                0.99866,                0.99993,                  0.995,                0.98829,                0.22545,                0.18739,                 1.1253,              0.0012874,              0.0012874,              0.0012874
                     25,                0.32945,                0.26798,                  1.227,                  0.999,                      1,                  0.995,                0.99353,                 0.1894,                0.18152,                  1.112,              0.0012709,              0.0012709,              0.0012709
                     26,                0.32957,                0.27064,                 1.2291,                0.99978,                      1,                  0.995,                0.99026,                 0.2008,                0.18681,                 1.1275,              0.0012544,              0.0012544,              0.0012544
                     27,                0.32646,                0.26758,                  1.233,                 0.9994,                      1,                  0.995,                0.99122,                0.18683,                0.17628,                 1.1154,              0.0012379,              0.0012379,              0.0012379
                     28,                0.33006,                0.26296,                 1.2277,                0.99986,                      1,                  0.995,                0.99418,                0.17393,                0.17235,                 1.1373,              0.0012214,              0.0012214,              0.0012214
                     29,                0.31635,                0.25801,                 1.2194,                0.99981,                      1,                  0.995,                0.99377,                0.17275,                0.16553,                 1.1044,              0.0012049,              0.0012049,              0.0012049
                     30,                0.31636,                0.25506,                 1.2148,                0.99989,                      1,                  0.995,                0.99445,                0.16273,                 0.1688,                 1.1863,              0.0011884,              0.0011884,              0.0011884
                     31,                0.32302,                0.25804,                 1.2318,                 0.9999,                      1,                  0.995,                 0.9944,                0.16388,                0.16152,                   1.12,              0.0011719,              0.0011719,              0.0011719
                     32,                0.31627,                0.25995,                 1.2273,                0.99857,                      1,                  0.995,                0.99254,                 0.1959,                0.17571,                 1.0809,              0.0011554,              0.0011554,              0.0011554
                     33,                 0.3162,                0.25759,                 1.2136,                0.99989,                      1,                  0.995,                0.99472,                0.16742,                0.16937,                 1.0911,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.3119,                 0.2555,                 1.2217,                0.98907,                0.98524,                0.99462,                0.99231,                0.17546,                0.18702,                 1.0972,              0.0011224,              0.0011224,              0.0011224
                     35,                0.30685,                0.25391,                 1.2238,                0.99866,                0.99951,                  0.995,                0.99442,                0.16614,                0.16088,                 1.1139,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.3069,                0.24583,                 1.2138,                0.99986,                      1,                  0.995,                0.99467,                0.15698,                0.15672,                 1.1092,              0.0010894,              0.0010894,              0.0010894
                     37,                0.30567,                0.24551,                 1.2249,                 0.9996,                0.99995,                  0.995,                0.99482,                0.16609,                0.16232,                 1.0985,              0.0010729,              0.0010729,              0.0010729
                     38,                0.31269,                0.25512,                 1.2184,                0.99935,                      1,                  0.995,                0.99463,                 0.1676,                0.15508,                 1.0732,              0.0010564,              0.0010564,              0.0010564
                     39,                0.30423,                0.24857,                 1.2085,                0.99851,                      1,                  0.995,                0.99436,                0.16528,                0.15547,                 1.1462,              0.0010399,              0.0010399,              0.0010399
                     40,                0.30561,                0.24862,                 1.2155,                0.99983,                      1,                  0.995,                0.99476,                0.17578,                0.16643,                 1.1206,              0.0010234,              0.0010234,              0.0010234
                     41,                0.29939,                0.24426,                 1.2011,                0.99986,                      1,                  0.995,                0.99495,                0.15619,                0.15897,                 1.1039,              0.0010069,              0.0010069,              0.0010069
                     42,                0.30113,                0.24103,                 1.2198,                 0.9999,                      1,                  0.995,                0.99497,                0.15393,                0.15097,                 1.1413,             0.00099036,             0.00099036,             0.00099036
                     43,                0.29572,                0.23727,                 1.2078,                0.99989,                      1,                  0.995,                0.99494,                0.14886,                0.14782,                 1.0993,             0.00097386,             0.00097386,             0.00097386
                     44,                0.30165,                0.24472,                 1.2108,                0.99976,                      1,                  0.995,                0.99436,                0.16397,                0.15546,                 1.0833,             0.00095736,             0.00095736,             0.00095736
                     45,                0.28865,                0.23248,                 1.1913,                0.99972,                      1,                  0.995,                0.99495,                0.14663,                0.15134,                 1.0993,             0.00094085,             0.00094085,             0.00094085
                     46,                0.28452,                0.22979,                 1.1882,                0.99987,                      1,                  0.995,                0.99392,                0.17226,                0.15458,                 1.1075,             0.00092435,             0.00092435,             0.00092435
                     47,                0.29625,                0.24114,                 1.2162,                0.99989,                      1,                  0.995,                0.99444,                0.16152,                0.15704,                 1.1068,             0.00090785,             0.00090785,             0.00090785
                     48,                0.29576,                0.23971,                   1.22,                0.99865,                      1,                  0.995,                0.99485,                0.15941,                0.15606,                  1.187,             0.00089134,             0.00089134,             0.00089134
                     49,                0.28498,                0.22959,                 1.1999,                0.99989,                      1,                  0.995,                0.99479,                0.15827,                0.14975,                 1.1607,             0.00087484,             0.00087484,             0.00087484
                     50,                0.28221,                0.22729,                 1.1952,                0.99988,                      1,                  0.995,                0.99454,                0.15085,                0.15071,                 1.0941,             0.00085834,             0.00085834,             0.00085834
                     51,                0.29333,                0.23227,                  1.205,                0.99987,                      1,                  0.995,                0.99498,                0.14484,                0.14275,                 1.0953,             0.00084184,             0.00084184,             0.00084184
                     52,                0.27915,                0.22364,                 1.1852,                 0.9999,                      1,                  0.995,                0.99486,                0.14264,                0.14348,                  1.113,             0.00082533,             0.00082533,             0.00082533
                     53,                0.27222,                0.22012,                 1.1912,                0.99965,                0.99978,                  0.995,                0.99489,                0.14692,                0.14396,                 1.0891,             0.00080883,             0.00080883,             0.00080883
                     54,                0.27102,                0.21808,                 1.1813,                0.99984,                      1,                  0.995,                0.99481,                0.14305,                0.13713,                 1.1014,             0.00079233,             0.00079233,             0.00079233
