                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1836,                 3.5139,                  4.196,                0.00833,                    0.5,                0.01357,                0.00321,                 3.1979,                 3.3235,                 4.1465,                 0.0004,                 0.0004,                 0.0004
                      2,                 3.1411,                 2.9599,                 3.9886,                0.00967,                   0.58,                0.01515,                0.00356,                 3.1676,                  3.277,                  4.109,             0.00081459,             0.00081459,             0.00081459
                      3,                  2.909,                 2.6776,                 3.6119,                0.01033,                   0.62,                0.01006,                0.00296,                 3.0982,                 3.2141,                 4.0455,              0.0012236,              0.0012236,              0.0012236
                      4,                 2.4908,                 2.4858,                 3.2172,                0.11373,                   0.11,                0.04512,                0.01381,                 3.0025,                 3.4214,                 4.2771,              0.0016271,              0.0016271,              0.0016271
                      5,                 2.2637,                 2.2232,                 2.9118,                0.01845,                   0.02,                 0.0061,                0.00165,                 3.3828,                 6.9455,                 4.6137,              0.0019472,              0.0019472,              0.0019472
                      6,                 2.0916,                 2.1328,                  2.727,                0.00697,                   0.29,                0.00716,                0.00169,                 3.3723,                 3.8953,                 6.7014,               0.001934,               0.001934,               0.001934
                      7,                 1.9322,                  1.952,                 2.5041,                0.01041,                   0.54,                0.00952,                0.00283,                 3.2451,                 3.5769,                  4.449,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.7981,                 1.8074,                 2.3312,                 0.3812,                   0.27,                0.23258,                0.10454,                 2.2141,                 2.4504,                 2.8912,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.7261,                 1.7053,                 2.2596,                0.58223,                0.50172,                0.51702,                0.28153,                 1.8319,                 1.9338,                 2.4084,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.6435,                 1.6033,                 2.1659,                0.67441,                0.62667,                0.64968,                0.36235,                 1.5707,                  1.671,                 2.0699,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.5521,                 1.5023,                 2.0806,                0.55046,                0.70333,                0.56343,                0.33619,                 1.4364,                 1.5636,                 1.9563,               0.001868,               0.001868,               0.001868
                     12,                  1.526,                 1.4957,                 2.0472,                0.64673,                   0.75,                0.69892,                0.38235,                 1.4643,                 1.6007,                 1.9814,              0.0018548,              0.0018548,              0.0018548
                     13,                  1.436,                 1.3754,                 1.9772,                  0.691,                 0.7827,                0.73008,                0.45494,                 1.4414,                 1.2566,                 1.9005,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.4104,                 1.3588,                 1.9178,                0.73549,                0.75333,                0.75779,                0.50572,                 1.3053,                 1.3178,                 1.7812,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.3496,                 1.2756,                 1.8522,                 0.6955,                   0.79,                0.76638,                0.49429,                 1.3464,                 1.3147,                 1.8593,              0.0018152,              0.0018152,              0.0018152
