                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5599,                 3.9184,                 4.2017,                0.00253,                 0.2598,                0.00167,                 0.0004,                 2.1713,                 21.555,                 2.7723,                  8e-05,                  8e-05,                  8e-05
                      2,                 3.6093,                 3.8503,                 4.1732,                0.00272,                0.27941,                0.00186,                0.00043,                 2.1693,                 21.707,                 2.7708,             0.00017644,             0.00017644,             0.00017644
                      3,                 3.6771,                 3.8327,                 4.1627,                0.00262,                0.26961,                0.00676,                0.00141,                 2.1649,                 21.945,                 2.7673,             0.00026891,             0.00026891,             0.00026891
                      4,                 3.7191,                 3.9168,                 4.1562,                0.00282,                0.28431,                 0.0073,                0.00148,                 2.1597,                 22.128,                 2.7633,             0.00035743,             0.00035743,             0.00035743
                      5,                 3.6348,                 3.5989,                 4.1128,                0.00281,                0.28922,                0.00733,                0.00252,                 2.1507,                 22.279,                 2.7559,             0.00044198,             0.00044198,             0.00044198
                      6,                 3.5389,                 3.5917,                 4.0559,                0.00296,                0.30882,                0.00731,                0.00202,                 2.1437,                 22.329,                 2.7497,             0.00052258,             0.00052258,             0.00052258
                      7,                  3.508,                 3.5281,                 4.0263,                 0.0029,                0.30392,                0.00739,                0.00206,                   2.13,                 22.665,                 2.7371,             0.00059922,             0.00059922,             0.00059922
                      8,                 3.5426,                 3.3005,                 3.9892,                0.00292,                0.31373,                0.00755,                0.00213,                 2.1227,                 22.508,                   2.73,             0.00067189,             0.00067189,             0.00067189
                      9,                 3.2759,                 3.4173,                 3.8578,                0.00301,                0.32353,                0.00271,                0.00068,                 2.1106,                 22.438,                 2.7159,             0.00074061,             0.00074061,             0.00074061
                     10,                 3.0868,                 3.2093,                 3.7872,                0.00292,                0.31373,                0.00775,                0.00265,                 2.1096,                 21.943,                  2.713,             0.00080536,             0.00080536,             0.00080536
                     11,                 3.1512,                 3.0716,                 3.7227,                0.00311,                0.33333,                  0.008,                0.00322,                 2.0882,                 22.645,                 2.6915,             0.00086616,             0.00086616,             0.00086616
                     12,                 2.9917,                 3.0758,                 3.6504,                0.00311,                0.33333,                0.00547,                 0.0017,                 2.0912,                 21.758,                 2.6986,               0.000923,               0.000923,               0.000923
                     13,                 3.1054,                 3.0423,                 3.5743,                 0.0032,                0.34314,                0.00524,                 0.0017,                 2.0982,                 21.331,                 2.7031,             0.00097587,             0.00097587,             0.00097587
                     14,                 2.8452,                 2.8995,                 3.4308,                 0.0032,                0.34314,                0.00459,                0.00113,                 2.1298,                 19.203,                 2.7343,              0.0010248,              0.0010248,              0.0010248
                     15,                 2.9031,                  2.982,                 3.4166,                0.00352,                0.37745,                0.00506,                0.00124,                 2.1246,                 19.529,                 2.7086,              0.0010697,              0.0010697,              0.0010697
                     16,                 2.7818,                 2.7798,                 3.3194,                0.00388,                0.41667,                0.00431,                0.00098,                 2.1204,                 18.856,                 2.7043,              0.0011107,              0.0011107,              0.0011107
                     17,                 2.7642,                 2.6471,                 3.3192,                0.00447,                0.48039,                0.00494,                0.00132,                 2.0655,                 19.419,                 2.6509,              0.0011478,              0.0011478,              0.0011478
                     18,                 2.7306,                 2.6983,                 3.2479,                0.00457,                 0.4902,                0.00505,                0.00128,                 2.1015,                 16.057,                 2.7049,              0.0011809,              0.0011809,              0.0011809
