                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5565,                 2.2684,                 2.9688,                0.71653,                0.66173,                0.73782,                0.55272,                0.93017,                 1.6685,                 2.4101,             0.00054969,             0.00054969,             0.00054969
                      2,                 1.2146,                 1.5349,                 2.3855,                0.70221,                 0.7986,                0.77076,                0.59975,                0.87144,                 1.3941,                  2.303,              0.0010944,              0.0010944,              0.0010944
                      3,                 1.1416,                 1.3111,                 2.3493,                0.53244,                0.61924,                0.62539,                0.46513,                0.98183,                 1.4112,                  2.628,              0.0016281,              0.0016281,              0.0016281
                      4,                 1.0799,                 1.1603,                 2.2649,                 0.8401,                0.80105,                0.88323,                 0.7415,                0.66822,                0.83208,                 2.1599,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0013,                 1.0377,                 2.1593,                0.87418,                0.78941,                0.90671,                0.74522,                 0.7158,                0.73625,                 2.1232,               0.001601,               0.001601,               0.001601
                      6,                0.97257,                 1.0036,                 2.1331,                0.86206,                0.82331,                0.91892,                0.75719,                0.70773,                 0.7505,                   2.28,              0.0015845,              0.0015845,              0.0015845
                      7,                0.95071,                0.93328,                 2.1335,                0.82013,                0.85078,                0.89217,                0.70355,                0.75326,                0.75435,                 2.2124,               0.001568,               0.001568,               0.001568
                      8,                0.95159,                0.93863,                 2.1002,                0.79426,                 0.7904,                0.83611,                0.71556,                0.61065,                0.96929,                 2.0136,              0.0015515,              0.0015515,              0.0015515
                      9,                 0.9294,                0.88751,                 2.0897,                0.76771,                0.85612,                0.88364,                0.74164,                 0.6358,                0.73835,                 1.9959,               0.001535,               0.001535,               0.001535
                     10,                0.92031,                0.88249,                 2.1071,                0.80352,                0.93154,                0.94034,                0.80875,                0.60946,                0.60764,                 1.9327,              0.0015185,              0.0015185,              0.0015185
                     11,                0.90192,                0.85739,                 2.0748,                0.72508,                0.86143,                0.90622,                0.78063,                0.60414,                0.82124,                 1.9254,               0.001502,               0.001502,               0.001502
                     12,                0.86686,                0.85296,                  2.033,                0.80747,                0.78243,                0.86021,                0.73504,                0.60723,                0.71613,                 1.9412,              0.0014855,              0.0014855,              0.0014855
                     13,                0.88643,                0.85599,                 2.0398,                0.91034,                0.90708,                0.95829,                0.82991,                0.58356,                0.53749,                 1.9108,               0.001469,               0.001469,               0.001469
                     14,                0.84859,                0.83025,                 2.0051,                0.85213,                0.89478,                0.92274,                0.80375,                 0.5538,                0.56729,                 1.9241,              0.0014525,              0.0014525,              0.0014525
                     15,                0.83417,                0.79651,                 1.9948,                0.84405,                0.88286,                0.92367,                0.81499,                0.54301,                0.56304,                 1.8987,               0.001436,               0.001436,               0.001436
                     16,                0.83883,                0.78565,                 2.0097,                0.79283,                 0.8305,                0.90373,                0.76281,                0.61623,                0.68605,                 1.9697,              0.0014195,              0.0014195,              0.0014195
                     17,                0.83834,                0.79926,                 1.9855,                0.84618,                0.90288,                0.91545,                 0.7956,                0.58433,                0.59312,                 1.8933,              0.0014029,              0.0014029,              0.0014029
                     18,                0.84012,                0.76441,                 1.9989,                0.78917,                0.88835,                 0.9373,                0.81817,                0.57497,                0.66377,                 1.9787,              0.0013864,              0.0013864,              0.0013864
                     19,                0.83661,                0.78084,                 2.0113,                0.90546,                 0.8663,                0.94865,                0.82889,                0.58228,                0.53483,                 1.8287,              0.0013699,              0.0013699,              0.0013699
                     20,                0.82037,                0.75908,                 1.9638,                0.90911,                0.91015,                0.96014,                0.84095,                0.55011,                0.48348,                  1.863,              0.0013534,              0.0013534,              0.0013534
                     21,                0.79618,                0.75261,                 1.9725,                0.89492,                0.90307,                0.95711,                0.84885,                0.54176,                0.49449,                 1.8851,              0.0013369,              0.0013369,              0.0013369
                     22,                0.80991,                0.74019,                 1.9515,                0.84833,                0.92019,                 0.9503,                0.83393,                0.58398,                0.50747,                 1.8064,              0.0013204,              0.0013204,              0.0013204
                     23,                0.80029,                 0.7494,                 1.9468,                0.90965,                0.89891,                0.96219,                0.84269,                0.56185,                0.46634,                 1.8807,              0.0013039,              0.0013039,              0.0013039
                     24,                0.78571,                0.71656,                  1.951,                 0.9099,                0.88814,                0.96201,                0.85295,                 0.5365,                0.48525,                 1.8051,              0.0012874,              0.0012874,              0.0012874
                     25,                 0.7982,                0.73084,                 1.9598,                0.79503,                0.81516,                0.95151,                0.84699,                0.52187,                0.74007,                 1.8422,              0.0012709,              0.0012709,              0.0012709
                     26,                0.77663,                0.72024,                 1.9304,                0.88652,                0.90245,                 0.9463,                0.84215,                0.53591,                0.50855,                 1.8733,              0.0012544,              0.0012544,              0.0012544
                     27,                0.77224,                0.72235,                 1.9506,                0.87192,                 0.8905,                0.95989,                0.85557,                0.52809,                0.51157,                 1.7748,              0.0012379,              0.0012379,              0.0012379
                     28,                0.76939,                0.71529,                 1.9335,                0.84319,                0.91553,                0.94905,                 0.8454,                0.51474,                 0.5022,                 1.7803,              0.0012214,              0.0012214,              0.0012214
                     29,                0.78351,                0.71824,                 1.9315,                0.79672,                0.92253,                  0.924,                0.82861,                0.51203,                0.52836,                 1.8139,              0.0012049,              0.0012049,              0.0012049
                     30,                0.77861,                0.72304,                 1.9363,                0.86242,                 0.8997,                0.93826,                0.83792,                0.51412,                0.50069,                 1.8013,              0.0011884,              0.0011884,              0.0011884
                     31,                0.75639,                0.69672,                 1.9127,                0.84351,                0.94034,                0.95796,                0.84787,                0.51585,                0.51583,                 1.7703,              0.0011719,              0.0011719,              0.0011719
                     32,                0.77561,                   0.71,                 1.9078,                0.87332,                0.91193,                0.94598,                0.85296,                0.49964,                0.46762,                 1.7765,              0.0011554,              0.0011554,              0.0011554
                     33,                0.75685,                0.67635,                  1.879,                0.90016,                0.91532,                0.96242,                0.85935,                0.51269,                0.44476,                 1.7672,              0.0011389,              0.0011389,              0.0011389
                     34,                0.76076,                0.68241,                 1.9189,                0.88633,                0.92922,                0.96137,                0.86224,                0.49274,                0.44892,                  1.758,              0.0011224,              0.0011224,              0.0011224
                     35,                0.74101,                0.65783,                 1.8917,                0.85208,                0.86694,                 0.9213,                0.82676,                0.48524,                0.58275,                 1.7856,              0.0011059,              0.0011059,              0.0011059
                     36,                0.72865,                0.67578,                 1.8629,                0.93242,                0.91597,                 0.9678,                0.87574,                 0.4753,                0.42661,                 1.7123,              0.0010894,              0.0010894,              0.0010894
                     37,                0.75466,                0.66514,                 1.8801,                0.87854,                0.92169,                0.96087,                0.86127,                0.51588,                0.46935,                 1.7304,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74544,                0.67264,                 1.9014,                0.92861,                0.87584,                  0.966,                0.87976,                0.47683,                 0.4379,                 1.7653,              0.0010564,              0.0010564,              0.0010564
